,Company Name,Industry,Symbol,Series,ISIN Code
86,Bank of Baroda,Financial Services,BANKBARODA,EQ,INE028A01039
87,Bank of India,Financial Services,BANKINDIA,EQ,INE084A01016
88,Bank of Maharashtra,Financial Services,MAHABANK,EQ,INE457A01014
89,Bata India Ltd.,Consumer Durables,BATAINDIA,EQ,INE176A01028
90,Bayer Cropscience Ltd.,Chemicals,BAYERCROP,EQ,INE462A01022
91,Berger Paints India Ltd.,Consumer Durables,BERGEPAINT,EQ,INE463A01038
92,Bhansali Engineering Polymers Ltd.,Chemicals,BEPL,EQ,INE922A01025
93,Bharat Bijlee Ltd.,Capital Goods,BBL,EQ,INE464A01036
94,Bharat Dynamics Ltd.,Capital Goods,BDL,EQ,INE171Z01026
95,Bharat Electronics Ltd.,Capital Goods,BEL,EQ,INE263A01024
96,Bharat Forge Ltd.,Automobile and Auto Components,BHARATFORG,EQ,INE465A01025
97,Bharat Heavy Electricals Ltd.,Capital Goods,BHEL,EQ,INE257A01026
98,Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,BPCL,EQ,INE029A01011
99,Bharti Airtel Ltd.,Telecommunication,BHARTIARTL,EQ,INE397D01024
100,Bharti Hexacom Ltd.,Telecommunication,BHARTIHEXA,EQ,INE343G01021
101,Bikaji Foods International Ltd.,Fast Moving Consumer Goods,BIKAJI,EQ,INE00E101023
102,Biocon Ltd.,Healthcare,BIOCON,EQ,INE376G01013
103,Birla Corporation Ltd.,Construction Materials,BIRLACORPN,EQ,INE340A01012
104,Birlasoft Ltd.,Information Technology,BSOFT,EQ,INE836A01035
105,Blue Dart Express Ltd.,Services,BLUEDART,EQ,INE233B01017
106,Blue Jet Healthcare Ltd.,Healthcare,BLUEJET,EQ,INE0KBH01020
107,Blue Star Ltd.,Consumer Durables,BLUESTARCO,EQ,INE472A01039
108,Bombay Burmah Trading Corporation Ltd.,Fast Moving Consumer Goods,BBTC,EQ,INE050A01025
